TN,FP,FN,TP,Round,SamplerAndClassifer,Precision,Recall,F05,F1,F2,Precision0,Recall0,F05_anti,F1_anti,F2_anti,AUC,AUC0,Accuracy
90,90,233,578,992,NeighbourhoodCleaningRule_DecisionTreeClassifier,0.8652694610778443,0.7127003699136868,0.8297444731553258,0.7816091954022989,0.7387525562372188,0.2786377708978328,0.5,0.30570652173913043,0.35785288270377735,0.4314477468839885,0.6063501849568433,0.3936498150431566,0.6740665993945509
74,106,211,600,992,NeighbourhoodCleaningRule_GradientBoostingClassifier,0.8498583569405099,0.7398273736128237,0.8253094910591472,0.7910349373764007,0.759493670886076,0.2596491228070175,0.4111111111111111,0.2803030303030303,0.3182795698924731,0.36815920398009944,0.5754692423619674,0.4245307576380326,0.6801210898082745
8,172,25,786,992,NeighbourhoodCleaningRule_GaussianNB,0.8204592901878914,0.969173859432799,0.8464354942924833,0.8886376483889203,0.9352689195621133,0.24242424242424243,0.044444444444444446,0.1282051282051282,0.07511737089201878,0.05312084993359894,0.5068091519386216,0.4931908480613783,0.8012108980827447
103,77,441,370,992,NearMiss_RandomForestClassifier,0.8277404921700223,0.4562268803945746,0.7118122354751827,0.588235294117647,0.5012191817935518,0.18933823529411764,0.5722222222222222,0.21859083191850595,0.2845303867403315,0.4074367088607595,0.5142245513083984,0.4857754486916016,0.4772956609485368
115,65,543,268,992,NearMiss_DecisionTreeClassifier,0.8048048048048048,0.33045622688039455,0.6252916472235184,0.4685314685314685,0.3746155996645233,0.17477203647416414,0.6388888888888888,0.20448079658605978,0.2744630071599045,0.4172714078374456,0.4846725578846417,0.5153274421153583,0.38647830474268413
123,57,496,315,992,NearMiss_GradientBoostingClassifier,0.8467741935483871,0.3884093711467324,0.685080469769465,0.5325443786982248,0.4355641592920354,0.1987075928917609,0.6833333333333333,0.2315512048192771,0.3078848560700876,0.45929798356982815,0.5358713522400329,0.4641286477599671,0.4419778002018164
45,135,196,615,992,NearMiss_GaussianNB,0.82,0.7583230579531443,0.8068748360010496,0.7879564381806534,0.769904857285929,0.18672199170124482,0.25,0.1966783216783217,0.21377672209026127,0.23413111342351717,0.5041615289765722,0.4958384710234279,0.6659939455095862
92,88,284,527,992,InstanceHardnessThreshold_RandomForestClassifier,0.8569105691056911,0.6498150431565968,0.8055640476918374,0.7391304347826086,0.682819383259912,0.24468085106382978,0.5111111111111111,0.2731591448931116,0.33093525179856115,0.41970802919708033,0.5804630771338539,0.4195369228661461,0.6246215943491423
133,47,539,272,992,InstanceHardnessThreshold_DecisionTreeClassifier,0.8526645768025078,0.3353884093711467,0.6516530905606133,0.48141592920353976,0.3817008139208532,0.19791666666666666,0.7388888888888889,0.23186889818688983,0.31220657276995306,0.4777298850574713,0.5371386491300179,0.46286135086998215,0.40867810292633705
104,76,356,455,992,InstanceHardnessThreshold_GradientBoostingClassifier,0.8568738229755178,0.561035758323058,0.7751277683134582,0.6780923994038748,0.6026490066225165,0.22608695652173913,0.5777777777777777,0.2574257425742574,0.325,0.4406779661016949,0.5694067680504179,0.4305932319495821,0.5640766902119072
